"tick","run","remainingTanksBlue","remainingTanksRed","remainingRidersBlue","remainingRidersRed","remainingSoldiersBlue","remainingSoldiersRed"
1.0,1,10.0,10.0,10.0,10.0,10.0,10.0
2.0,1,10.0,10.0,10.0,10.0,10.0,10.0
3.0,1,10.0,10.0,9.0,10.0,10.0,10.0
4.0,1,10.0,10.0,9.0,10.0,10.0,9.0
5.0,1,10.0,9.0,8.0,10.0,10.0,9.0
6.0,1,10.0,9.0,8.0,10.0,10.0,9.0
7.0,1,10.0,9.0,7.0,9.0,10.0,9.0
8.0,1,10.0,9.0,7.0,9.0,10.0,9.0
9.0,1,10.0,9.0,7.0,9.0,9.0,9.0
10.0,1,10.0,8.0,6.0,9.0,8.0,8.0
11.0,1,10.0,8.0,6.0,7.0,8.0,8.0
12.0,1,10.0,8.0,6.0,7.0,7.0,8.0
13.0,1,10.0,8.0,6.0,6.0,6.0,8.0
14.0,1,9.0,7.0,6.0,6.0,6.0,8.0
15.0,1,9.0,6.0,6.0,5.0,6.0,8.0
16.0,1,8.0,6.0,5.0,5.0,6.0,8.0
17.0,1,8.0,6.0,4.0,5.0,6.0,8.0
18.0,1,8.0,5.0,4.0,5.0,6.0,7.0
19.0,1,8.0,5.0,4.0,5.0,6.0,7.0
20.0,1,8.0,5.0,4.0,5.0,6.0,7.0
21.0,1,7.0,4.0,3.0,4.0,6.0,7.0
22.0,1,7.0,4.0,3.0,4.0,6.0,6.0
23.0,1,7.0,4.0,3.0,4.0,5.0,6.0
24.0,1,7.0,4.0,3.0,4.0,5.0,6.0
25.0,1,7.0,4.0,2.0,3.0,5.0,5.0
26.0,1,6.0,3.0,1.0,2.0,4.0,5.0
27.0,1,5.0,3.0,1.0,1.0,4.0,5.0
28.0,1,5.0,3.0,1.0,1.0,2.0,5.0
29.0,1,5.0,3.0,1.0,1.0,2.0,4.0
30.0,1,5.0,3.0,1.0,1.0,2.0,3.0
31.0,1,4.0,3.0,1.0,1.0,2.0,3.0
32.0,1,4.0,3.0,1.0,1.0,1.0,3.0
33.0,1,4.0,2.0,1.0,0.0,1.0,3.0
34.0,1,4.0,2.0,0.0,0.0,1.0,3.0
35.0,1,4.0,2.0,0.0,0.0,1.0,3.0
36.0,1,4.0,2.0,0.0,0.0,1.0,3.0
37.0,1,4.0,2.0,0.0,0.0,1.0,2.0
38.0,1,3.0,2.0,0.0,0.0,1.0,2.0
39.0,1,3.0,2.0,0.0,0.0,1.0,2.0
40.0,1,3.0,1.0,0.0,0.0,1.0,2.0
41.0,1,2.0,1.0,0.0,0.0,1.0,2.0
42.0,1,2.0,0.0,0.0,0.0,1.0,2.0
43.0,1,2.0,0.0,0.0,0.0,1.0,2.0
44.0,1,2.0,0.0,0.0,0.0,1.0,2.0
45.0,1,2.0,0.0,0.0,0.0,1.0,1.0
46.0,1,2.0,0.0,0.0,0.0,1.0,1.0
47.0,1,2.0,0.0,0.0,0.0,1.0,1.0
48.0,1,1.0,0.0,0.0,0.0,1.0,0.0
1.0,2,10.0,10.0,10.0,10.0,10.0,10.0
2.0,2,10.0,10.0,10.0,10.0,10.0,10.0
3.0,2,10.0,10.0,10.0,10.0,10.0,10.0
4.0,2,10.0,10.0,10.0,10.0,10.0,10.0
5.0,2,10.0,10.0,10.0,10.0,10.0,10.0
6.0,2,9.0,10.0,10.0,10.0,10.0,10.0
7.0,2,9.0,10.0,10.0,9.0,9.0,10.0
8.0,2,9.0,10.0,10.0,9.0,8.0,10.0
9.0,2,7.0,10.0,9.0,9.0,8.0,8.0
10.0,2,7.0,9.0,8.0,8.0,8.0,8.0
11.0,2,7.0,8.0,8.0,8.0,7.0,6.0
12.0,2,7.0,8.0,7.0,8.0,7.0,4.0
13.0,2,7.0,8.0,6.0,8.0,7.0,4.0
14.0,2,7.0,8.0,5.0,6.0,7.0,3.0
15.0,2,7.0,8.0,4.0,6.0,7.0,3.0
16.0,2,6.0,8.0,3.0,6.0,7.0,3.0
17.0,2,5.0,8.0,3.0,5.0,7.0,3.0
18.0,2,4.0,8.0,3.0,3.0,7.0,3.0
19.0,2,3.0,7.0,2.0,2.0,6.0,3.0
20.0,2,3.0,7.0,2.0,1.0,5.0,2.0
21.0,2,3.0,7.0,2.0,1.0,4.0,2.0
22.0,2,3.0,7.0,1.0,1.0,3.0,2.0
23.0,2,3.0,5.0,1.0,1.0,3.0,2.0
24.0,2,3.0,5.0,1.0,0.0,1.0,2.0
25.0,2,3.0,3.0,1.0,0.0,1.0,2.0
26.0,2,3.0,2.0,1.0,0.0,1.0,2.0
27.0,2,3.0,2.0,0.0,0.0,1.0,1.0
28.0,2,3.0,2.0,0.0,0.0,1.0,0.0
29.0,2,3.0,2.0,0.0,0.0,0.0,0.0
30.0,2,2.0,2.0,0.0,0.0,0.0,0.0
31.0,2,2.0,2.0,0.0,0.0,0.0,0.0
32.0,2,2.0,2.0,0.0,0.0,0.0,0.0
33.0,2,2.0,1.0,0.0,0.0,0.0,0.0
34.0,2,2.0,1.0,0.0,0.0,0.0,0.0
35.0,2,1.0,1.0,0.0,0.0,0.0,0.0
36.0,2,1.0,0.0,0.0,0.0,0.0,0.0
1.0,3,10.0,10.0,10.0,10.0,10.0,10.0
2.0,3,10.0,10.0,10.0,10.0,10.0,10.0
3.0,3,10.0,10.0,10.0,10.0,10.0,10.0
4.0,3,10.0,10.0,10.0,10.0,10.0,10.0
5.0,3,10.0,10.0,10.0,10.0,10.0,10.0
6.0,3,9.0,10.0,9.0,10.0,10.0,9.0
7.0,3,9.0,10.0,9.0,9.0,10.0,9.0
8.0,3,9.0,10.0,9.0,8.0,9.0,9.0
9.0,3,9.0,10.0,8.0,8.0,9.0,9.0
10.0,3,9.0,9.0,7.0,8.0,9.0,8.0
11.0,3,8.0,9.0,7.0,7.0,9.0,8.0
12.0,3,8.0,9.0,7.0,7.0,7.0,8.0
13.0,3,8.0,9.0,7.0,7.0,7.0,8.0
14.0,3,7.0,9.0,7.0,6.0,7.0,8.0
15.0,3,7.0,9.0,7.0,5.0,7.0,8.0
16.0,3,7.0,9.0,6.0,5.0,7.0,8.0
17.0,3,7.0,9.0,6.0,5.0,5.0,8.0
18.0,3,7.0,8.0,5.0,5.0,5.0,8.0
19.0,3,7.0,8.0,5.0,5.0,5.0,8.0
20.0,3,7.0,8.0,5.0,5.0,5.0,8.0
21.0,3,7.0,8.0,5.0,4.0,5.0,8.0
22.0,3,7.0,8.0,5.0,4.0,4.0,7.0
23.0,3,5.0,8.0,5.0,3.0,3.0,7.0
24.0,3,5.0,7.0,5.0,3.0,3.0,7.0
25.0,3,5.0,7.0,5.0,3.0,2.0,7.0
26.0,3,5.0,7.0,3.0,1.0,2.0,7.0
27.0,3,4.0,6.0,2.0,1.0,2.0,6.0
28.0,3,4.0,6.0,1.0,0.0,2.0,6.0
29.0,3,4.0,5.0,1.0,0.0,2.0,6.0
30.0,3,4.0,5.0,1.0,0.0,2.0,6.0
31.0,3,4.0,5.0,1.0,0.0,2.0,6.0
32.0,3,4.0,5.0,1.0,0.0,2.0,6.0
33.0,3,4.0,5.0,1.0,0.0,2.0,6.0
34.0,3,3.0,4.0,1.0,0.0,2.0,5.0
35.0,3,3.0,3.0,1.0,0.0,2.0,5.0
36.0,3,3.0,3.0,1.0,0.0,1.0,4.0
37.0,3,3.0,3.0,1.0,0.0,1.0,3.0
38.0,3,2.0,3.0,1.0,0.0,1.0,3.0
39.0,3,2.0,3.0,1.0,0.0,0.0,1.0
40.0,3,1.0,3.0,1.0,0.0,0.0,1.0
41.0,3,1.0,2.0,1.0,0.0,0.0,1.0
