"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
1,2059854809,0,-16,16,0,16,0,-16,0,0,0
2,2059856731,0,-16,16,0,16,0,-16,0,0,10
3,2059857606,0,-16,16,0,16,0,-16,0,0,20
4,2059858138,0,-16,16,0,16,0,-16,0,10,0
5,2059858950,0,-16,16,0,16,0,-16,0,10,10
6,2059859434,0,-16,16,0,16,0,-16,0,10,20
7,2059859888,0,-16,16,0,16,0,-16,0,20,0
8,2059860341,0,-16,16,0,16,0,-16,0,20,10
9,2059860747,0,-16,16,0,16,0,-16,0,20,20
10,2059861200,0,-16,16,0,16,0,-16,10,0,0
11,2059861560,0,-16,16,0,16,0,-16,10,0,10
12,2059861981,0,-16,16,0,16,0,-16,10,0,20
13,2059862356,0,-16,16,0,16,0,-16,10,10,0
14,2059862778,0,-16,16,0,16,0,-16,10,10,10
15,2059863153,0,-16,16,0,16,0,-16,10,10,20
16,2059863575,0,-16,16,0,16,0,-16,10,20,0
17,2059864060,0,-16,16,0,16,0,-16,10,20,10
18,2059864434,0,-16,16,0,16,0,-16,10,20,20
19,2059864700,0,-16,16,0,16,0,-16,20,0,0
20,2059865028,0,-16,16,0,16,0,-16,20,0,10
21,2059865403,0,-16,16,0,16,0,-16,20,0,20
22,2059865763,0,-16,16,0,16,0,-16,20,10,0
23,2059866231,0,-16,16,0,16,0,-16,20,10,10
24,2059866575,0,-16,16,0,16,0,-16,20,10,20
25,2059866872,0,-16,16,0,16,0,-16,20,20,0
26,2059867278,0,-16,16,0,16,0,-16,20,20,10
27,2059867685,0,-16,16,0,16,0,-16,20,20,20
28,2059868091,0,-16,16,0,16,10,-16,0,0,0
29,2059868481,0,-16,16,0,16,10,-16,0,0,10
30,2059868809,0,-16,16,0,16,10,-16,0,0,20
31,2059869169,0,-16,16,0,16,10,-16,0,10,0
32,2059869513,0,-16,16,0,16,10,-16,0,10,10
33,2059869903,0,-16,16,0,16,10,-16,0,10,20
34,2059870247,0,-16,16,0,16,10,-16,0,20,0
35,2059870544,0,-16,16,0,16,10,-16,0,20,10
36,2059870903,0,-16,16,0,16,10,-16,0,20,20
37,2059871388,0,-16,16,0,16,10,-16,10,0,0
38,2059871731,0,-16,16,0,16,10,-16,10,0,10
39,2059872028,0,-16,16,0,16,10,-16,10,0,20
40,2059872435,0,-16,16,0,16,10,-16,10,10,0
41,2059872856,0,-16,16,0,16,10,-16,10,10,10
42,2059873122,0,-16,16,0,16,10,-16,10,10,20
43,2059873481,0,-16,16,0,16,10,-16,10,20,0
44,2059873872,0,-16,16,0,16,10,-16,10,20,10
45,2059874216,0,-16,16,0,16,10,-16,10,20,20
46,2059874606,0,-16,16,0,16,10,-16,20,0,0
47,2059875091,0,-16,16,0,16,10,-16,20,0,10
48,2059875466,0,-16,16,0,16,10,-16,20,0,20
49,2059875825,0,-16,16,0,16,10,-16,20,10,0
50,2059876184,0,-16,16,0,16,10,-16,20,10,10
51,2059876591,0,-16,16,0,16,10,-16,20,10,20
52,2059876888,0,-16,16,0,16,10,-16,20,20,0
53,2059877403,0,-16,16,0,16,10,-16,20,20,10
